"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.solidToLiquid","p","p_rgh","rho"
0.0005544,4.6e-06,3.3e-05,293.38,0,0,0,0,0,1,0,0,0,2650
0.0005698,0,3.3e-05,293.18,0,0,0,0,0,1,0,0,0,2650
0.0005698,4.6e-06,3.3e-05,293.27,0,0,0,0,0,1,0,0,0,2650
0.0005852,0,3.3e-05,293.17,0,0,0,0,0,1,0,0,0,2650
0.0005852,4.6e-06,3.3e-05,293.22,0,0,0,0,0,1,0,0,0,2650
0.0006006,0,3.3e-05,293.16,0,0,0,0,0,1,0,0,0,2650
0.0006006,4.6e-06,3.3e-05,293.18,0,0,0,0,0,1,0,0,0,2650
0.000616,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000616,4.6e-06,3.3e-05,293.17,0,0,0,0,0,1,0,0,0,2650
0.0006314,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0006314,4.6e-06,3.3e-05,293.16,0,0,0,0,0,1,0,0,0,2650
0.0006468,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0006468,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0006622,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0006622,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0006776,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0006776,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000693,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000693,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007084,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007084,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007238,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007238,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007392,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007392,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007546,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007546,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.00077,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.00077,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007854,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0007854,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008008,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008008,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008162,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008162,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008316,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008316,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000847,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000847,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008624,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008624,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008778,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008778,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008932,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0008932,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0009086,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0009086,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000924,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
